node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
jgi|PhapaK8108|8898904|fgenesh1_kg.tig00005144_2006_#_365_#_evgvelvOases_91_Loc3391t3_151671,321.0,0.0,1.0,324.0,1695.208,12.0,0.08997,1962.88571,12.51709,316597.01685,4.75789108232E11,0.0,
jgi|PhapaK8108|7408235|fgenesh1_pm.tig00031307_5764_#_2,126.0,0.0,1.0,126.0,1693.62,41.0,0.08997,1746.94444,12.25412,292403.27417,1.09807024816E11,0.0,
jgi|PhapaK8108|7405673|fgenesh1_pm.tig00005998_2281_#_10,381.0,0.0,1.0,381.0,1695.208,61.0,0.08997,2019.11071,12.55321,600039.77746,5.11154387374E11,0.0,
jgi|PhapaK8108|7403298|fgenesh1_pm.tig00000726_292_#_1,329.0,0.0,1.0,334.0,1695.208,13.0,0.08997,1979.87778,12.54965,334903.51954,3.38757336684E11,0.0,
jgi|PhapaK8108|7402766|fgenesh1_pm.tig00000012_5_#_4,329.0,0.0,1.0,329.0,1695.208,35.0,0.08997,1979.87778,12.54965,326841.15603,3.33993582776E11,0.0,
jgi|PhapaK8108|3152645|estExt_Genewise1Plus.C_tig00002350_9520021,278.0,0.0,1.0,288.0,1695.208,6.0,0.08997,1934.77381,12.50696,154121.24502,1.69846349036E11,0.0,
jgi|PhapaK8108|3105024|e_gw1.2262.34.1,359.0,0.0,1.0,359.0,1695.208,242.0,0.08997,2049.52302,12.6613,1154769.165,5.12093211772E11,0.0,
jgi|PhapaK8108|11662334|MIX14731_900_77,329.0,0.0,1.0,334.0,1695.208,1.0,0.08997,1979.87778,12.54965,334903.51954,3.38757336684E11,0.0,
jgi|PhapaK8108|11634143|estExt_fgenesh1_pg.C_tig00031200_56880014,279.0,0.0,1.0,279.0,1695.208,14.0,0.08997,1919.57738,12.46127,203534.82975,4.03286240976E11,0.0,
jgi|PhapaK8108|10802179|fgenesh1_kg.tig00031302_5759_#_1864_#_evgvelvOases_91_Loc684t1_151490,213.0,0.0,1.0,213.0,1695.208,11.0,0.08997,1848.86786,12.37835,208886.88653,1.70180037976E11,0.0,
jgi|PhapaK8108|10724114|fgenesh1_kg.tig00031253_5721_#_5892_#_evgsoapSoap_35_C2576053_189950,266.0,0.0,1.0,267.0,1695.208,1.0,0.08179,1916.38258,12.44704,131937.54073,5.6057980782E10,0.0,
jgi|PhapaK8108|7409024|fgenesh1_pm.tig00031615_5993_#_2,148.0,0.0,1.0,148.0,1693.485,30.0,0.08997,1753.66508,12.23086,298875.05847,9.0118026604E10,0.0,
jgi|PhapaK8108|1274809|CE1274808_5662,222.0,0.0,1.0,222.0,1695.208,60.0,0.08997,1892.79921,12.43636,591793.98129,9.65210418776E11,0.0,
jgi|PhapaK8108|10895295|fgenesh1_kg.tig00031367_5804_#_227_#_evgvelvOases_121_Loc1728t1_21705,222.0,0.0,1.0,225.0,1695.208,28.0,0.08997,1903.07619,12.48124,183668.89162,1.999146252E11,0.0,
jgi|PhapaK8108|8013135|fgenesh1_kg.tig00001680_694_#_490_#_evgvelvOases_91_Loc255t6_151446,345.0,0.0,1.0,345.0,1695.208,22.0,0.08997,2039.96548,12.64187,602096.16076,5.1171237119E11,0.0,
jgi|PhapaK8108|7405111|fgenesh1_pm.tig00004162_1666_#_6,232.0,0.0,1.0,232.0,1695.208,79.0,0.08997,1881.84563,12.42898,495722.72752,4.57047690156E11,0.0,
jgi|PhapaK8108|10865656|fgenesh1_kg.tig00031351_5790_#_3243_#_evgvelvOases_121_Loc2672t1_155986,158.0,0.0,1.0,158.0,1691.948,88.0,0.08997,1816.5631,12.34251,850860.05456,1.409415602806E12,0.0,
jgi|PhapaK8108|7757041|fgenesh1_kg.tig00000926_380_#_864_#_evgvelvOases_101_Loc2033t1_153160,220.0,0.0,1.0,231.0,1695.208,124.0,0.08997,1889.37024,12.46893,1041663.03568,2.90793855134E11,0.0,
jgi|PhapaK8108|9739455|fgenesh1_kg.tig00010542_3604_#_112_#_evgvelvOases_111_Loc508t1_154668,257.0,0.0,1.0,257.0,1695.208,24.0,0.08997,1949.02024,12.5554,341480.36011,1.8362719107E11,0.0,
jgi|PhapaK8108|3093335|e_gw1.161.23.1,327.0,0.0,1.0,327.0,1695.208,14.0,0.09997,1986.65,12.53378,601776.13022,3.9187580651E11,0.0,
jgi|PhapaK8108|7402620|fgenesh1_pg.tig00032233_6424_#_5,118.0,0.0,1.0,118.0,1693.5,21.0,0.08179,1743.98218,12.22648,184178.05581,8.7195549734E10,0.0,
jgi|PhapaK8108|3147559|estExt_Genewise1.C_tig00032152_63650027,249.0,0.0,1.0,255.0,1695.208,17.0,0.08997,1899.68056,12.43034,158158.19453,1.69707393726E11,0.0,
GlymaFiskIII.U027400.1.p,21.0,0.0,1.0,21.0,1185.896,50.0,0.08997,1744.50873,12.23839,5017.10544,2.773599904E9,0.0,
jgi|PhapaK8108|7408428|fgenesh1_pm.tig00031362_5801_#_15,7.0,0.0,1.0,7.0,441.011,1.0,0.08179,1342.39448,11.34044,2.0,42.0,0.0,
jgi|PhapaK8108|3168922|estExt_Genewise1Plus.C_tig00031600_59810015,117.0,0.0,1.0,117.0,1691.881,9.0,0.08997,1728.06865,12.21855,25764.18067,3.6890489538E10,0.0,
jgi|PhapaK8108|2529855|CE2529854_9780,199.0,0.0,1.0,199.0,1693.52,4.0,0.08997,1852.86825,12.39231,183859.8952,3.19076394672E11,0.0,
jgi|PhapaK8108|1088342|CE1088341_12575,199.0,0.0,1.0,199.0,1693.629,9.0,0.08997,1852.86825,12.39231,183859.8952,3.19076394672E11,0.0,
jgi|PhapaK8108|7409259|fgenesh1_pm.tig00031738_6065_#_3,351.0,0.0,1.0,351.0,1695.208,28.0,0.09997,2022.79762,12.59836,522371.85264,4.3563529301E11,0.0,
jgi|PhapaK8108|7408064|fgenesh1_pm.tig00031253_5721_#_23,409.0,0.0,1.0,413.0,1695.208,26.0,0.08997,2098.17857,12.69359,738483.47875,8.02812872102E11,0.0,
jgi|PhapaK8108|7397793|fgenesh1_pg.tig00021464_5517_#_5,242.0,0.0,1.0,242.0,1695.208,27.0,0.08997,1899.05,12.44485,225388.8383,3.59270647164E11,0.0,
jgi|PhapaK8108|3076821|gw1.3416.4.1,166.0,0.0,1.0,166.0,1695.208,70.0,0.08179,1810.13218,12.3031,354239.67103,1.680960444434E12,0.0,
jgi|PhapaK8108|3149891|estExt_Genewise1Plus.C_tig00000877_3640061,148.0,0.0,1.0,148.0,1691.978,103.0,0.09997,1791.35675,12.32718,406180.83535,4.00479814426E11,0.0,
GlymaFiskIII.U025100.1.p,6.0,0.0,1.0,6.0,28.438,6.0,0.06921,1092.89706,10.41075,1834.70548,1.00340038E9,0.0,
jgi|PhapaK8108|7408344|fgenesh1_pm.tig00031331_5781_#_3,41.0,0.0,1.0,43.0,256.692,39.0,0.07498,1336.5417,11.30897,488558.9572,1.56715573068E11,0.0,
jgi|PhapaK8108|3166652|estExt_Genewise1Plus.C_tig00031321_57740019,31.0,0.0,1.0,31.0,47.237,1.0,0.06427,963.56937,9.64032,383.0309,3420330.0,0.0,
jgi|PhapaK8108|3151322|estExt_Genewise1Plus.C_tig00001541_6340016,31.0,0.0,1.0,31.0,40.676,1.0,0.06427,963.56937,9.64032,383.0309,3420330.0,0.0,
jgi|PhapaK8108|3124778|estExt_Genewise1.C_tig00000285_1150008,31.0,0.0,1.0,31.0,47.27,1.0,0.06427,963.56937,9.64032,383.0309,3420330.0,0.0,
jgi|PhapaK8108|3115687|e_gw1.5689.29.1,31.0,0.0,1.0,31.0,52.345,1.0,0.06427,963.56937,9.64032,383.0309,3420330.0,0.0,
jgi|PhapaK8108|10187277|fgenesh1_kg.tig00014689_4573_#_562_#_evgvelvOases_111_Loc12929t1_155489,31.0,0.0,1.0,31.0,52.582,1.0,0.06427,963.56937,9.64032,383.0309,3420330.0,0.0,
GlymaFiskIII.U023400.1.p,15.0,0.0,1.0,15.0,633.938,209.0,0.08179,1602.97468,12.05833,130879.2027,4.357577619E10,0.0,
jgi|PhapaK8108|7406440|fgenesh1_pm.tig00009039_3192_#_2,36.0,0.0,1.0,36.0,1068.42,1.0,0.07498,1422.76757,11.57878,29236.31086,2.540627776E9,0.0,
jgi|PhapaK8108|11618809|estExt_fgenesh1_pm.C_tig00000094_420002,59.0,0.0,1.0,61.0,1281.209,63.0,0.08179,1645.60559,12.16683,682975.37033,8.3383803732E10,0.0,
jgi|PhapaK8108|7408047|fgenesh1_pm.tig00031253_5721_#_6,58.0,0.0,1.0,58.0,1182.277,20.0,0.07498,1447.00685,11.60258,46068.41617,1.0823788172E10,0.0,
jgi|PhapaK8108|3144436|estExt_Genewise1.C_tig00031475_58880013,51.0,0.0,1.0,51.0,1153.919,12.0,0.08179,1476.83178,11.72764,72416.5189,7.044919312E9,0.0,
jgi|PhapaK8108|3113490|e_gw1.4743.2.1,67.0,0.0,1.0,67.0,1286.477,25.0,0.08997,1559.93492,11.90085,177532.87655,2.5382053512E10,0.0,
jgi|PhapaK8108|3101293|e_gw1.1429.3.1,53.0,0.0,1.0,53.0,1158.503,1.0,0.08179,1478.16512,11.72819,80776.9336,7.956858324E9,0.0,
jgi|PhapaK8108|3096878|e_gw1.682.8.1,63.0,0.0,1.0,63.0,1193.932,1.0,0.07498,1450.34019,11.60395,60290.76298,1.2967057718E10,0.0,
jgi|PhapaK8108|10720347|fgenesh1_kg.tig00031253_5721_#_2125_#_evgsoapSoap_101_scaffold3210_67294,58.0,0.0,1.0,58.0,1162.989,1.0,0.07498,1447.00685,11.60258,46068.41617,1.0823788172E10,0.0,
jgi|PhapaK8108|10953503|fgenesh1_kg.tig00031404_5828_#_585_#_evgvelvOases_121_Loc7299t1_156418,37.0,0.0,1.0,37.0,747.523,13.0,0.08179,1463.84802,11.67619,323336.02199,1.63810340828E11,0.0,
jgi|PhapaK8108|9952909|fgenesh1_kg.tig00012327_4067_#_296_#_evgvelvOases_111_Loc3900t2_154918,11.0,0.0,1.0,11.0,201.814,11.0,0.07498,1284.89747,11.20827,76268.02942,1.5809063396E10,0.0,
jgi|PhapaK8108|9923512|fgenesh1_kg.tig00012004_3990_#_1450_#_evgvelvOases_111_Loc3900t1_154917,11.0,0.0,1.0,11.0,196.887,1.0,0.07498,1284.89747,11.20827,76268.02942,1.5809063396E10,0.0,
jgi|PhapaK8108|3111784|e_gw1.4143.1.1,16.0,0.0,1.0,16.0,257.633,6.0,0.07498,1302.37543,11.26163,144983.33404,9.1971143776E10,0.0,
jgi|PhapaK8108|3166412|estExt_Genewise1Plus.C_tig00031300_57570019,26.0,0.0,1.0,26.0,297.843,18.0,0.07498,1294.24095,11.21374,82217.31698,4.9363806248E10,0.0,
jgi|PhapaK8108|337563|CE337562_13519,113.0,0.0,1.0,146.0,636.132,101.0,0.07498,1451.92626,11.56373,868103.28303,1.13128492346E11,0.0,
GlymaFiskIII.U017600.1.p,5.0,0.0,1.0,5.0,254.529,2.0,0.07498,1271.29823,11.15231,651.50739,5.6445488E7,0.0,
jgi|PhapaK8108|3092930|e_gw1.121.17.1,68.0,0.0,1.0,68.0,1166.411,15.0,0.08179,1509.50444,11.76431,226681.59079,1.7015773412E10,0.0,
jgi|PhapaK8108|11042193|fgenesh1_kg.tig00031474_5887_#_2154_#_evgtrinTRINITY_DN204631c7_g1_i11_24044P17742,12.0,0.0,1.0,12.0,445.028,1.0,0.07498,1255.14477,11.08486,1341.38446,3.32184302E8,0.0,
GlymaFiskIII.U015800.2.p,148.0,0.0,1.0,148.0,1693.577,251.0,0.08997,1970.2619,12.5331,85923.80611,3.17228093366E11,0.0,
jgi|PhapaK8108|7406016|fgenesh1_pm.tig00007283_2660_#_1,88.0,0.0,1.0,88.0,1356.665,71.0,0.08179,1557.93734,11.79769,281019.09157,2.29017306524E11,0.0,
jgi|PhapaK8108|7402664|fgenesh1_pg.tig00032297_6452_#_5,88.0,0.0,1.0,88.0,1377.003,1.0,0.08179,1557.93734,11.79769,281019.09157,2.29017306524E11,0.0,
jgi|PhapaK8108|3112202|e_gw1.4282.4.1,121.0,0.0,1.0,121.0,1693.501,56.0,0.08997,1741.40913,12.25713,54871.2164,8.8520453426E10,0.0,
jgi|PhapaK8108|7408540|fgenesh1_pm.tig00031399_5826_#_6,198.0,0.0,1.0,203.0,1695.208,45.0,0.08997,1852.5623,12.39778,314773.7038,2.15971181408E11,0.0,
jgi|PhapaK8108|3151505|estExt_Genewise1Plus.C_tig00001625_6670007,154.0,0.0,1.0,171.0,1695.208,13.0,0.08997,1813.87897,12.34688,113387.47971,2.35110206046E11,0.0,
jgi|PhapaK8108|3138252|estExt_Genewise1.C_tig00011414_38380006,154.0,0.0,1.0,166.0,1695.208,1.0,0.08997,1813.87897,12.34688,114694.32363,2.46350902302E11,0.0,
jgi|PhapaK8108|3148624|estExt_Genewise1Plus.C_tig00000285_1150039,200.0,0.0,1.0,200.0,1695.208,7.0,0.08997,1810.59246,12.29216,85752.45912,2.51366510066E11,0.0,
jgi|PhapaK8108|3136214|estExt_Genewise1.C_tig00008528_30310009,198.0,0.0,1.0,210.0,1695.208,18.0,0.08997,1869.92976,12.41995,174506.92254,5.28287598322E11,0.0,
jgi|PhapaK8108|11289181|fgenesh1_kg.tig00031704_6046_#_1588_#_evgvelvOases_101_Loc2287t2_20738,198.0,0.0,1.0,210.0,1695.208,1.0,0.08997,1869.92976,12.41995,174506.92254,5.28287598322E11,0.0,
jgi|PhapaK8108|7408369|fgenesh1_pm.tig00031351_5790_#_12,188.0,0.0,1.0,188.0,1693.554,6.0,0.08997,1824.74087,12.34278,116898.60698,6.4218899652E10,0.0,
jgi|PhapaK8108|7407559|fgenesh1_pm.tig00016944_4955_#_1,245.0,0.0,1.0,245.0,1695.208,63.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|7405413|fgenesh1_pm.tig00005144_2006_#_1,311.0,0.0,1.0,311.0,1695.208,5.0,0.08997,1944.13135,12.43308,798043.02375,7.68869826156E11,0.0,
jgi|PhapaK8108|3169216|estExt_Genewise1Plus.C_tig00031635_60060030,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3168986|estExt_Genewise1Plus.C_tig00031605_59860020,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3168886|estExt_Genewise1Plus.C_tig00031594_59750021,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3168525|estExt_Genewise1Plus.C_tig00031565_59500001,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3167323|estExt_Genewise1Plus.C_tig00031388_58160014,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3166586|estExt_Genewise1Plus.C_tig00031317_57700036,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3165639|estExt_Genewise1Plus.C_tig00031224_57050013,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3165151|estExt_Genewise1Plus.C_tig00020983_54720003,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3164388|estExt_Genewise1Plus.C_tig00017442_50220002,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3161520|estExt_Genewise1Plus.C_tig00010685_36410005,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3157926|estExt_Genewise1Plus.C_tig00006137_23240012,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3157270|estExt_Genewise1Plus.C_tig00005487_21230018,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3156924|estExt_Genewise1Plus.C_tig00005175_20220005,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3156706|estExt_Genewise1Plus.C_tig00004986_19570002,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3156397|estExt_Genewise1Plus.C_tig00004690_18590001,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3156188|estExt_Genewise1Plus.C_tig00004484_17920003,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3154641|estExt_Genewise1Plus.C_tig00003347_13540005,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3152783|estExt_Genewise1Plus.C_tig00002409_9750018,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3152697|estExt_Genewise1Plus.C_tig00002359_9570026,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3149192|estExt_Genewise1Plus.C_tig00000529_1990001,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3123525|e_gw1.6364.10.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3123482|e_gw1.6350.14.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3122907|e_gw1.6220.5.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3122395|e_gw1.6137.15.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3122332|e_gw1.6128.18.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3122000|e_gw1.6088.2.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3121289|e_gw1.6044.8.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3120807|e_gw1.6009.8.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3119320|e_gw1.5900.10.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3119315|e_gw1.5899.7.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3118987|e_gw1.5863.15.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3118830|e_gw1.5850.2.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3117786|e_gw1.5793.6.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3117780|e_gw1.5793.27.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3117390|e_gw1.5775.44.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3116996|e_gw1.5757.17.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3116749|e_gw1.5742.8.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3116399|e_gw1.5723.14.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3115675|e_gw1.5689.8.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3114993|e_gw1.5345.2.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3114050|e_gw1.4929.8.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3113535|e_gw1.4763.2.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3113469|e_gw1.4732.13.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3113389|e_gw1.4703.11.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3112833|e_gw1.4492.6.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3112382|e_gw1.4336.10.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
jgi|PhapaK8108|3112282|e_gw1.4307.8.1,245.0,0.0,1.0,245.0,1695.208,1.0,0.08997,1948.05754,12.56908,51744.33179,4.24512724028E11,0.0,
